x	y
Make remainder	Not Found
Set a reminder on date 23rd November'2016	Not Found
I need a daily wake up call	Found
remind me 6 pm today eveng	Not Found
Hi Pls to make one reminder for me	Not Found
Remind me at 28 December for recharge	Found
Can u help me with reminder..	Not Found
Can u pls remind me at 7pm on 8 Jan	Found
What is my next reminder?	Found
Can u please set me an alarm at 7.30 am	Not Found
Set a reminder on 4 th Dec of going to meet sonal miss at 2:00 pm	Found
Remind me to purchase shoe polish liquid Date:3 Jan Time:6.30 pm	Found
Thanks at least I'll remember my loves birthday this time	Found
I setd a reminder but it dint remained me	Not Found
Susan dmello meeting with sujit sir remind him Tomorrow	Found
I need to set reminder to msg babbu at 7 in evening	Found
Hi give me a reminder to pay LIC Premium on tonight 9 PM	Found
3 alarms 7:15 am 7:30 am 7:45 am	Not Found
Daily	Not Found
Remind me to go to bank at 11 am today	Found
Remind me to buy eggs on next Monday and Tuesday at 9pm	Found
Please remind me for internal audit review meeting at 12.45 today	Found
One more reminder I have	Not Found
Evening 5 o'clock	Not Found
Remind me of SBI card payment of rs 4465 by 04/12/16 11am	Found
Unsubscribe me from all the reminder	Not Found
Thanks for reminding 🙏🙏🙏	Not Found
And a reminder tomorrow at 11.30 am to go through basic codings and share markets.	Found
Need all reminders list from starting till now	Not Found
Hi can u please set a reminder for me at 2pm	Not Found
I want reminder before 10 mins..	Not Found
Hii. Can you set alarm at 11pm	Found
Please remind me on Tuesday that I have an appointment at YLG for hair spa at 4.15	Found
19th December Tejas birthday	Not Found
Can you remind me when i am offline	Not Found
Date of 26	Not Found
Shradha can u remind me at 5:30	Not Found
Can you please remind me to fill a file at 9 pm today	Found
Remind to work on design qualification documents	Found
N please remind me to send pics to Rajeshwari in the first week of Jan	Found
10 pm jhalak reminder	Not Found
Shall I get 2 calls or 1call in the morning?	Not Found
Remind me at 5:15pm today	Not Found
Remind me for a work	Found
Just remind me to take 500/- from raj sir	Found
Can you remind me at 12:00 pm today to start my studies	Found
9828562148. Remind me	Not Found
Pls give me jogging reminder at 7 pm	Found
Thanks sir	Not Found
Oh thanks to remember	Not Found
Remind me to prepare home tutor profile	Found
How to make my work schedule list in one week ago? Kindly give me any sample file in excel if you have.	Found
One more reminder for security mail n tea coffee for event at 11.30 am tomorow	Found
Can u set a reminder of 10 am	Not Found
Can you set an alarm for me	Not Found
And a reminder for uploading pictures on Google drive on Saturday at 11 am	Found
Remind me to fill government form	Found
Remind me to tak3 my meds every morning at 9	Found
Can you remind me tommorow about trignomentry	Found
Thanks for all the reminders. They really helped me out.	Found
Remind me to carry a bottle when i go out at 2.00 pm	Found
How to reset the reminder	Not Found
Remind me about ferns&petalson6/1/17	Found
Remind me for tatkal train ticket reservation...on 14.12.2016 at 9.00 AM	Found
Set reminder on 8th to take tickets of railway on any time	Found
Remind me at 11	Not Found
Thnx for your alarm	Not Found
Who reminded me	Not Found
Remind me on 17th Dec and 19th December for to choreograph a sequence for Amdocs which is on 20th December.	Found
Remind me next monday to plan inspection for nazir bhai class at 8pm	Found
I need the support pipeline reminder every friday	Not Found
Pl remind me tomorrow take my weeding cards with me.	Found
Pls remind me to ask my gf why her boss shouted at her	Found
Next reminder	Not Found
I need a reminder. Every day. At 2.30 pm and 5.30 pm to message my wife.	Found
Tuesday remind Mrs manna for ground	Found
I want set sm reminder for tomorrow n the day aftr tomorrow	Not Found
Remind me today at 8:45pm for get dress from ironing	Found
Set alarm for tuition	Not Found
Want a reminder at 8.20pm	Not Found
Remind me to select the best T-shirt from my collection	Found
2 pm now meeting today	Found
